"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.778609884902835,0,7.21433926559985,41.1958895600401,0.0785040587885305,0.0196207923060266,0.0566464891587481,0.0909847878058346,0.122917065302435,0.152686327437736,0.180505469758587,0.20655994915567,0.231009924712786,0.254001709562144,0.275659427337843,0.296097157857454,0.315416136214341,0.333702908771437,0.351039342326871,0.367497154042417,0.383141284795219,0.398031972746047,0.412220030977055,0.425755916975353,0.43868090440307,0.451040928968339,0.462866903163115,0.474193957387115,0.485054314771414,0.495474979858911
"2",0.541176511906087,0,5.16922175139189,60.9753837063909,0.0938306829892099,0.0196117927512082,0.0566214549139637,0.0909457087933573,0.12286582737283,0.152624632004816,0.180434610504894,0.206480130286604,0.230923801351995,0.253907903339461,0.275560486149938,0.29599372137718,0.315305792708383,0.333588878250756,0.350920928649305,0.367375613961618,0.383018145244684,0.397904716494644,0.412092149253694,0.425625898642673,0.438549568098766,0.450906158517901,0.462730756981057,0.474056944544555,0.484915957990427,0.495336595055939
"3",0.762988406885415,0,10.5532765947282,88.4317042771727,0.050131102045998,0.0242921397842346,0.0695114089491166,0.110737807801077,0.1484755871317,0.183148359501087,0.215114805303449,0.244678261974163,0.27209925020781,0.297602679233213,0.321382974899404,0.343607399918486,0.364424167968385,0.383963918468563,0.402338164980079,0.419649439311418,0.435988335335327,0.451431345178943,0.466052607202427,0.479917521431111,0.493078011843261,0.505591900979602,0.517501650554164,0.528852412107358,0.53968141758649,0.550024884724939
"4",0.722704509273171,0,4.395721424371,78.8501808047295,0.00982637798879296,0.0201404967288676,0.0580859913326078,0.0932064553617307,0.125806030920436,0.156145591903802,0.184452877559609,0.210924782516245,0.235734447350892,0.259032682031444,0.280953588223124,0.301616687226004,0.32112576190697,0.339575491267945,0.357049968482741,0.373623934382861,0.389365780054015,0.404336071586484,0.418589591292973,0.432178629008322,0.445146309289527,0.45753573016135,0.469383825224337,0.480726913123057,0.491594496750145,0.502016730824646
"5",0.746558803785592,0,5.13889293372631,78.8045345735736,0.0720933120232076,0.0187755284572658,0.0542930187666907,0.0873346557912251,0.118150214715332,0.146956035847108,0.173942924985662,0.199277847486653,0.223106455350934,0.245560085159678,0.266753767602836,0.286789936856851,0.305762577738053,0.323752367832025,0.34083429981395,0.357074575825295,0.372535754570749,0.387270595318906,0.401329926217825,0.414758624810984,0.42759908298086,0.439888415365623,0.451661042393299,0.462949694240445,0.473781305119296,0.484186456137693
"6",0.759583171643317,0,7.52532048709691,73.0562187265605,0.0377741232747212,0.0225683634620666,0.064788898625762,0.103521716752223,0.139180124069747,0.172116041139615,0.202628891524009,0.230976245926485,0.257380480040599,0.282034181310532,0.30510529066783,0.32674182737861,0.347073036805742,0.366214314109765,0.384265766645609,0.401317832130881,0.417452076898975,0.432741250124772,0.447248985703961,0.461033046747401,0.474146974363066,0.486636320746392,0.498549964263526,0.509922154731827,0.520787970448451,0.531184556881097
"7",0.425377428717911,0,4.42819109000266,73.7538664974272,0.0782613727264106,0.0199728705176701,0.0576237189068634,0.0924960012562614,0.124885016935204,0.155046419862466,0.183201990138119,0.20954441838942,0.234243725393641,0.257448345296092,0.279289083264287,0.2998837189076,0.319335146071579,0.3377361613212,0.355169976115128,0.371708885624065,0.387422812332532,0.402369719466172,0.416604336974561,0.430177652693417,0.443134553607615,0.455515859546765,0.46735859852994,0.478696754741212,0.489562865275248,0.499985502544516
"8",0.762306796014309,0,11.5800545793027,52.035815694835,0.0237357834819704,0.0254733479902923,0.0727269432307247,0.115622600177995,0.154734801775191,0.190541432799053,0.223443524670339,0.253781414403552,0.281841216749038,0.307870496082231,0.332081534394314,0.354658491092165,0.375762421299789,0.395529738096651,0.414085155451083,0.431536232726264,0.447979007626799,0.463498421350424,0.478170225412918,0.492061786925125,0.505233566285147,0.517738326346102,0.529629081861344,0.540945495227229,0.551732165957105,0.562025002716908
"9",0.76963061215356,0,7.79364186897874,59.343945775181,0.0127243341412395,0.0236671863099155,0.0678005715246946,0.108124904214706,0.145112407286639,0.179159776402532,0.2106031999664,0.239730714758382,0.266788563242069,0.29198821445396,0.315515724727031,0.33753233018501,0.358178006638195,0.377576316228767,0.395838702034121,0.41306101109211,0.429327860039698,0.444718759634915,0.459302178547252,0.473140527096547,0.486287527869283,0.498794900392261,0.510708562369356,0.522070882000025,0.532916159373741,0.543279502616766
"10",0.587649883236736,0,11.6971344035119,85.6034609093331,0.0579497245838866,0.0272368016648286,0.0775066421619025,0.122854238522841,0.163965820937605,0.201406901470093,0.235646147911577,0.267076378691579,0.296029506238484,0.322785217290798,0.347585310300132,0.370636750772719,0.392115908376211,0.412180381899984,0.43096334988535,0.448584621063005,0.465148291010657,0.480747253838502,0.495462336956684,0.509367601495233,0.522526640727662,0.53500043281088,0.546838254767064,0.558089102451105,0.568794874131654,0.578994028361488
