Rate,,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,
Indoor,ATSB,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
,Control,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
Outdoor,ATSB,0.00E+00,0.00E+00,0.00E+00,9.58E-03,6.15E-03,7.30E-03,3.18E-02,,,
,Control,0.00E+00,0.00E+00,0.00E+00,1.26E-02,2.29E-02,2.39E-02,2.86E-02,,,
,,,,,,,,,,,
Total mosquitoes (pos+neg only),,,,,,,,,,,
,,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,
Indoor,ATSB,0,0,0,0,0,0,0,,,
,Control,0,0,0,0,0,0,0,,,
Outdoor,ATSB,0,9,21,731,976,959,377,,,
,Control,0,24,61,633,961,1003,210,,,
,,,,,,,,,,,
EIR = ( (Number of mosquitoes) * (sporozoite rate) * (30 days per month) ) /( (4 volunteers) * (7 villages per set) ),,,,,,,,,,,
,,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,
Indoor,ATSB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
,Control,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
Outdoor,ATSB,0.000,0.000,0.000,7.500,6.429,7.500,12.857,34.286,,
,Control,0.000,0.000,0.000,8.571,23.571,25.714,6.429,64.286,,
